id,title,funding_organization,maximum_monetary_value,desired_amount,application_date,deadline,status
GR-A108149-EL1,"Automated discrete data-warehouse","Ellison and Sons Foundation",43926.50,39204.00,2022-10-11,2024-12-03,Pending
GR-A123085-JO2,"Ameliorated maximized matrix","Johnson PLC Foundation",38555.10,32804.09,2023-05-12,2024-12-13,Approved
GR-A124179-GO8,"Assimilated asynchronous frame","Gonzalez-Stephens Federation",21120.96,16574.83,2022-12-18,2024-08-08,Pending
GR-A126765-FR1,"Automated regional forecast","Frye, Petty and Turner Endowment",45457.83,31802.81,2023-01-01,2024-11-23,Denied
GR-A130032-ME2,"Automated analyzing array","Meyer, Miller and Duke Federation",11300.39,5880.35,2023-06-12,2024-06-15,Approved
GR-A146540-JO0,"Advanced client-server moderator","Johnson LLC Trust",92686.00,53359.56,2024-03-20,2024-07-13,Approved
GR-A146799-HA5,"Adaptive cohesive ability","Hayes Group Federation",35339.06,30758.84,2022-08-25,2025-01-12,Denied
GR-A167801-HO0,"Automated mission-critical moderator","Horn-Morales Foundation",67308.87,34910.09,2022-09-20,2024-06-01,Denied
GR-A170990-CA3,"Assimilated even-keeled help-desk","Cannon, Mueller and Rubio Fund",86343.80,49239.28,2022-12-03,2025-03-14,Pending
GR-A180120-HO7,"Automated neutral definition","Hopkins-Jackson Foundation",61208.43,54539.26,2023-10-07,2025-03-27,Approved
GR-A182363-BR2,"Advanced 5thgeneration contingency","Brown, Taylor and Green Federation",68895.89,58530.83,2022-04-12,2024-05-19,Denied
GR-A186669-BR9,"Assimilated actuating algorithm","Brown, Martinez and Cross Endowment",43817.24,33262.02,2022-08-19,2024-07-24,Approved
GR-A197906-FL0,"Automated stable capacity","Flynn Ltd Council",35010.53,18167.86,2023-12-20,2024-05-25,Denied
GR-A217681-VA6,"Adaptive local hub","Vargas-Murphy Institute",89809.14,71468.36,2022-12-16,2025-02-25,Pending
GR-A228955-MA1,"Automated interactive complexity","Matthews PLC Trust",62974.78,32696.42,2022-04-21,2024-04-06,Approved
GR-A245420-LO3,"Automated zero tolerance attitude","Lozano Ltd Institute",48664.88,25074.98,2023-09-23,2024-06-01,Denied
GR-A245708-WA6,"Advanced explicit protocol","Walker, Mendez and Morales Council",11253.97,8117.69,2022-06-16,2024-06-15,Denied
GR-A248732-RE7,"Ameliorated encompassing portal","Reynolds, Kennedy and Rocha Trust",31976.77,26093.87,2022-08-07,2024-04-07,Pending
GR-A250348-HO3,"Automated eco-centric knowledgebase","Hoover-Payne Endowment",47842.16,32021.78,2023-10-13,2025-01-18,Denied
GR-A264667-KR7,"Ameliorated solution-oriented synergy","Krause Group Trust",38634.29,20039.16,2022-09-17,2024-05-27,Denied
GR-A265099-LE7,"Adaptive homogeneous data-warehouse","Leon, Hansen and Greer Foundation",60867.86,53906.92,2023-08-27,2024-06-11,Pending
GR-A267276-RY1,"Adaptive user-facing monitoring","Ryan-Young Fund",11273.33,6385.59,2024-03-01,2024-12-26,Approved
GR-A268751-ST5,"Assimilated multimedia utilization","Stevens, Garza and Hawkins Endowment",11104.68,7469.68,2022-12-05,2024-10-06,Pending
GR-A269400-LE1,"Advanced motivating contingency","Lee Ltd Institute",30585.22,20313.52,2024-02-21,2024-05-05,Pending
GR-A281529-HE6,"Advanced responsive project","Hernandez, Mccormick and Luna Institute",83536.32,50799.85,2024-03-06,2024-10-31,Denied
GR-A297882-BA4,"Assimilated interactive product","Baker PLC Council",99084.48,78221.48,2023-02-24,2025-02-05,Approved
GR-A307741-WO9,"Assimilated transitional framework","Woodard, Johnson and Jordan Fund",88861.73,46983.49,2022-05-29,2024-04-26,Pending
GR-A317065-JO8,"Adaptive impactful productivity","Jones-Ward Federation",70652.62,46660.97,2023-01-08,2025-01-07,Approved
GR-A319974-RO1,"Automated scalable hardware","Rogers-Taylor Endowment",63984.99,45498.73,2024-01-11,2024-04-15,Approved
